2dehandsdeal,2dehands_deal
dichter,dicht
dieglatatiehoofdpijn,dilitatie_hoofd_pijn
diensthoofd,dienst_hoofd
dienstverband,dienst_verband
diep_gaand,diepgaand
diep_vriet,diep_vries
dieper,diep
diepgaander,diepgaand
dieptepunt,diepte_punt
dierentuin,dier_tuin
diet,dieet
diezelfde,dezelfde
dikken,dik
dinge,ding
dingske,ding
dingskes,ding
dino,dinosaurus
diplomauitreiking,diploma_uitreiking
discoswing,disco_swing
disneyfilm,disney_film
diteren,gediteerd
divak_plaats,bivak_plaats
do_lijst,todo_lijst
docenterhulpurp_roep,docent_hulp_groep
docu,documentaire
doe_doen,dood_doen
doeb,doen
doekdag,werk_dag
doelgroep,doel_groep
doellijs,doel_lijst
doellijst,doel_lijst
doelstelling,doel_stelling
doenkeen,douchen
doenketen,douchen
doenlijs,doel_lijst
dogsiten,dogsitten
dok_saspraak,dokter_afspraak
dok_ters_bezoek,dokter_bezoek
dok_ters_brief,dokter_brief
doken,duiken
dokter_saf_praak,dokter_afspraak
dokter_srong,dokter_ronde
dokteren,dokter
doktersronde,dokter_ronde
dokterstoer,dokter_tour
dommel,dommelen
dood_bloepen,dood_lopen
doodmoe,moe
doodsbang,bang
doofstre,stress
doop_weeken,doop_weekend
door_door_gaan,door_gaan
door_gepingpong,door_pingpongen
door_soezen,door_snoezen
door_stuiren,door_sturen
door_vertelten,door_vertellen
door_werk,door_werken
doorbladeren,door_bladeren
doorhaden,door_hebben
doorhaken,door_hakken
doorhakken,door_hakken
doorhebben,door_hebben
doorheben,door_hebben
doorhen,door_hebben
doorheven,door_hebben
doorhoden,door_hebben
doorkomen,door_komen
doorleren,door_leren
doorperen,door_peren
doorschuiven,door_schuiven
doorspelen,door_spelen
doorspoelen,door_spoelen
doorvoeren,door_voeren
doorwandelen,door_wandelen
doorzakken,door_zakken
doorzeten,door_zetten
doorzien,door_zien
doorzoeken,door_zoeken
doozden,gedoosd
dorpsfeest,dorp_feest
dorten,dorst
dos,to-do
doten,daten
douchebeurt,douche_beurt
doucheke,douche
douchest,douchen 
doven,uit_doven
dow_noden,downloaden
draag,dragen
draaimool,draai_molen
dras,draad
driedaagse,driedaags
driegen,bedriegen
driezen,droom
dringends,dringend
drinkfle,drink_fles
dromenland,droom_land
droomschat,droom
drukker,druk
drumles,drum_les
drumlokaal,drum_lokaal
drumoefening,drum_oefening
dtudentenjob,student_job
duch,dutje
dut,dutje
e_mail,e-mail
echt_genote,echt_genoot
ecoll,école
ééntonig,eentonig
eerst_ejaarweking,eerstejaar_werking
eetavond,eet_avond
eetfestijn,eet_festijn
eetkamer,eet_kamer
eetliefhebber,eet_liefhebber
eetruimte,eet_ruimte
eetst_oornis,eet_stoornis
eettafel,eet_tafel
efficient,efficiënt
eftelingen,efteling
eind_eavond,einde_avond
einde_avond,eind_avond
eindje,eind
einduur,eind_uur
ëisen,eisen
eitje,ei
ekonomica,ekonomika
ekvoetbal,ek_voetbal
elboog,elleboog
electriciteit,elektriciteit
elijf,lijf
emails,e-mail
emo_eten,emo-eten
energie_borst,energie_burst
energie_pijl,energie_peil
energiedip,energie_dip
energielevel,energie_level
energiepeilig,energie_peiling
energiepil,energie_pil
energietijd,energie_tijd
energietyp,energie_dip
entertaan,entertain
entertanen,entertainen
eren,eten
ereschool,school
erfstuk,erf_stuk
erger,erg
ërgeren,ergeren
ergs,erg
eriteren,geïrriteerd
erriteren,irriteren
eruit_zieten,eruit_zien
ervaaren,ervaren
ervarten,ervaren
essentiël,essentieel
ete,eten
etens,eten
etensplan,eten_plan
euren,euro
europese,europees
ex_uhiskraam,ex miskraam
exaam,examen
examen_oort,examen_soort
examen_vragen,examen_vraag
examendata,examen_datum
examenheid,examen
examenlectuur,examen_lectuur
examenleer_tof,examen_leerstof
examenmoment,examen_moment
examenperiode,examen_periode
examenrooster,examen_rooster
examenstress,examen_stress
exament,examen
examentijd,examen_tijd
excuseer,excuseren
exiting,exciting
exity,excited
experion,experience
express,expres
exsiding,exciting
exsite,excited
exsited,excited
exsitement,excitement
exsites,excited
extentie,extinctie
faak,fake
faas,fase
factoranalyse,factor_analyse
fak,fak_bar
falk,fog
fameu,fameus
familie_barbecued,familie_barbecue
familie_feestje,familie_feest
familie_fest,familie_feest
familie_weeken,familie_weekend
fanfares,fanfare
farangst,faal_angst
farmicologie,farmacologie
feed_back,feedback
feed_backs,feedback
feedback_sie,feedback_sessie
feestavond,feest_avond
feestje,feest
feestzaal,feest_zaal
festen,feesten
festivalleke,festival
fich,fish
fida,frieda
fiel,feel
fies,vies
fiet,fiets
fiet_maker,fiets_maker
fiet_senmaker,fiets_maker
fiet_skast,fiets
fiet_sleutel,fiets_sleutel
fiet_smarkt,fiets_markt
fiet_sseizoen,fiets_seizoen
fiet_stocht,fiets_tocht
fiets_enwinkel,fiets_winkel
fietsband,fiets_band
fietscar,fiets_car
fietsenstal,fiets_stal
fietsenstalling,fiets_stalling
fietskaart,fiets_kaart
fietske,fiets
fietsketting,fiets_ketting
fietspad,fiets_pad
fietsrit,fiets_rit
fietsstof,fiets_stof
fietstoch,fiets_tocht
fijnavond,fijn avond
fijnen,fijn
fijnoen,fijn
fiks,fiksen
fiksten,fiksen
fil,file
filipijnen,filipijn
film_film,film
filmavond,film_avond
filmke,film
fingers,finger
fistick,fish_stick
fitfit,fit
fitne,fitness
fitnes,fitness
fitnes_skanaal,fitness_kanaal
fitnes_skler,fitness_kleren
fitnessy,fitness
fitnis,fitness
fitnissen,fitnessen
fituur,frituur
fixen,fiksen
fixxen,fiksen
flauwvallen,flauw_vallen
fliksen,netflixen
floep,floepen
flyers,flyer
focen,focussen
focusen,focussen
focuseten,focused
focusgroep,focus_groep
focusten,focussen
focusts,focussen
fora,forum
forme,form
fotoalbum,foto_album
fotografe_npool,fotograaf_pool
fotomateriaal,foto_materiaal
fotoot,foto
fotoshoot,foto_shoot
fotoweek,foto_week
foutje,fout
foxen,focussen
fragmen,fragment
framé,frame
frie,friet
friek,freak
friens,friends
friet_dal,friet
frieten,friet
frit,friet
front_applicatie,front-applicatie
fruitbomen,fruit_boom
fruits,fruit
fruitsap,fruit_sap
fruitsla,fruit_sla
fruittig,fruitig
frusten,frust
frusteren,frustreren
frusterend,frustrerend
frustratie_,frustratie
frustreerd,gefrustreerd
frustreten,frustreren
fulltim,full-time
functieleer,functie_leer
functioneer,functioneren
gae,gay
galabal,gala_bal
galadiner,gala_diner
gambloux,gembloux
gamee,gamen
games,game
gan,gaan
gast_roscopy,gastroscopie
gauda,gouda
gazastrook,gaza_strook
gbs,gps
gebabbel,babbelen
gebeden,bidden
gebuisen,buizen
gechild,chillen
gedachtegang,gedachte_gang
gedachtengang,gedachte_gang
gedachtje,gedachte
gefrustr,gefrustreerd
gegame,gamen
gegegen,eten
gegeten,eten
gegeven,geven
gehaas,gehaast
gehaktbal,gehakt_bal
gehuilen,huilen
geitenvlees,geit_vlees
gejob,job
gekfeest,gek feest
geld_blaas,galblaas
gelijkaardigs,gelijkaardig
gelijkspel,gelijk_spel
gelijkvloer,gelijk_vloer
gelluncht,lunchen
geluid_sichnicus,geluid_technicus
geluk_momen,geluk_moment
geluk_skes,geluk
gelukske,geluk
gemakske,gemak
gemeentehuis,gemeente_huis
gemoeds,gemoed
gemoedsrust,gemoed_rust
gemoedstoestand,gemoed_toestand
genant,gênant
gene,gêne
genees,genezen
genees_middel_zoek,geneesmiddel_onderzoek
genoten,genieten
gents,gent
geochtend,ochtend
gepingpong,pingpongen
gepingpongt,pingpongen
gepsrek,gesprek
gera,raken 
gerechtsexpert,gerecht_expert
geruch,gerucht
gerust_gemoet,gerust gemoed
geruster,gerust
geruststelling,gerust_stelling
gervendaan_gevoel,tevreden_gevoel
gescheren,scheren
geskaan,skiën
gestres,gestresseerd
gestresseer,gestresseerd
gestrest,gestresseerd
geurkaar,geur_kaars
geurs_tok,geur_stok
geval_studieke,geval_studie
gevoels,gevoel
gevoelstoestand,gevoel_toestand
gevolleybald,volleyballen
gezelgschap,gezelschap
gezelschap_pel,gezelschap_spel
gezelschap_pellet,gezelschap_spel
gezelschap_spelletje,gezelschap_spel
gezichtsmasker,gezicht_masker
gezinneke,gezin
gezinsleven,gezin_leven
gezinssituatie,gezin_situatie
gezinstijd,gezin_tijd
gezonder,gezond
ghuis_geraak,huis raken
giet,gieten
giil,gil
girls,girl
gister,gisteren
gisteravond,gisteren_avond
gistereavond,gisteren_avond
gisterenavond,gisteren_avond
gisterenmiddag,gisteren_middag
gisterenmorgen,gisteren_morgen
gisterennacht,gisteren_nacht
gisterennamiddag,gisteren_namiddag
gisterenochtend,gisteren_ochtend
gisternacht,gisteren_nacht
gisternavond,gisteren_avond
gitaarle,gitaar_les
gitaarspelen,gitaar spelen
gitarspelen,gitaar spelen
godsdienst,god_dienst
godver_geten,godvergeten
goe,goed
goed_dag,goedendag
goed_goed,goed
goed_morgen,goedenmorgen
goed_vullen,goedgevuld
goed_zinden,goed_gezind
goededag,goedendag
goedemorgen,goedenmorgen
goedgezind,goed_gezind
goei,goed
goei_dag,goedendag
goei_dag_morgen,goed dag morgen
goei_morgen,goedenmorgen
goeiedag,goedendag
goeiemiddag,goedenmiddag
goeiemorgen,goedenmorgen
goeiemorgend,goedenmorgen
goeien,goed
goeienavond,goedenavond
goeiendag,goedendag
goesting_kes,goesting
gol_vendag,golf_dak
golflengte,golf_lengte
gouca,gouda
gped,goed
graf_feest,begrafenis
griek,grieks
groei_kant,goed kant
groen_teboer,groente_boer
groent,groente
groep_sdiscussie,groep_discussie
groep_sdynamica,groep_dynamica
groep_sepetitie,groep_repetitie
groep_sgenoot,groep_genoot
groep_sgenoy,groep_genoot
groep_sgesprek,groep_gesprek
groep_sles,groep_les
groep_slid,groep_lid
groep_sopdracht,groep_opdracht
groep_spaper,groep_paper
groep_sprojec,groep_project
groepke,groep
groepsdruk,groep_druk
groepsfoto,groep_foto
groepssessie,groep_sessie
groepsstaak,groep_taak
groepstaak,groep_taak
groepswerk,groep_werk
groepszet,groep_zet
groepwerk,groep_werk
grootmoeder,groot_moeder
grootouder,groot_ouder
groots,groot
grootvader,groot_vader
grote,groot
gsms,gsm
gulle,gul
gut,goed
haak_pul,haak_spul
haardvuur,haard_vuur
haatwisp,wesp
haken_halen,haken_naald
hakoom_haken,haken
halftijd,half_tijd
halloentocht,halloween_tocht
halloweenwandeling,halloween_wandeling
hallowin,halloween
hallowintocht,halloween_tocht
handdoek,hand_doek
hands,hand
handtas,hand_tas
handwerk,hand_werk
hang_zetelmiddag,hang_zetel_middag
hangrey,hangry
hap,hapje
happie,happy
happynes,happiness
hardstuderen,hard studeren
harples,harp_les
hartaanval,hart_aanval
hartpijn,hart_pijn
havenhuis,haven_huis
haver_maak,haver_vlok
havermout,haver_mout
havernout,haver_mout
haze_gedicht,haze gedicht
heart_break,heartbreak
hebgekoken,koken
hechting_tijl,hechting_stijl
heeeeeerlijk,heerlijk
heeerlijk,heerlijk
heen_hebben,heen_gaan
heer_exen,herexamen
hef,heffen
hele_tijd,tijd
heletijd,tijd
hels,hel
hemels,hemel
hemes,hem
henger,honger
herballive,herbalife
herbekeken,herbekijken
herboor,herboren
herenmatch,heren_match
herf_stag,herfst_dag
herf_stlucht,herfst_lucht
herf_stpoets,herfst_poets
herf_svoorbereiding,herfst_voorbereiding
herfstkleur,herfst_kleur
herfstochtend,herfst_ochtend
herfstwandeling,herfst_wandeling
herfstweer,herfst_weer
heringerichten,herinrichten
herken,herkennen
herrennen,rennen
heske,hesje
heuvelland,heuvel_land
hevel,heuvel
hingen,hangen
histeren,gisteren
hobby_uh,hobby
hocke,hockey
hockie,hockey
hockie_club,hockey_club
hockie_speler,hockey_speler
hockie_wedstrijd,hockey_wedstrijd
hockiet_raining,hockey_training
hocky,hockey
hockyclub,hockey_club
hocollege,hoor_college
hoge,hoog
hogeschool,hoog_school
hond_herapie,hond_therapie
hond_wei,hond_weide
honden_wijd,hond_weide
hondentherapeut,hond_therapeut
hondenwei,hond_weide
hondenweide,hond_weide
hong,hong-kong
hongerke,honger
hoocollege,hoor_college
hoofd_kas,hoofd_kaas
hoofd_stafgewen,hoofd_stuk af_werken
hoofdstad,hoofd_stad
hoofdstuk,hoofd_stuk
hoofpijn,hoofd_pijn
hoofstuk,hoofd_stuk
hoogcollege,hoor_college
hoogd_ag,hoog_dag
hoognodig,nodig
hoogst,hoog
hooi_koort,hooi_koorts
hoom,home
hoopvoller,hoopvol
hoorcollege,hoor_college
hoorspel,hoor_spel
hopig,wanhopig
hopvol,hoopvol
horcollege,hoor_college
horocollege,hoor_college
horrorfilm,horror_film
horrorserie,horror_serie
houer,uur
hous_ewoning,housewarming
housevorming,housewarming
hout_worming,housewarming
houtje,outfit
hoven,hof
huis_agende,huis_agenda
huis_genote,huis_genoot
huis_leutel,huis_sleutel
huisbazin,huis_baas
huisbezoek,huis_bezoek
huisdokter,huis_dokter
huishouden,huis_houden
huishoudhulp,huishoud_hulp
huishoudje,huishoud
huisman,huis_man
huisvesting,huis_vesting
huisvorming,housewarming
huisvrouw,huis_vrouw
huisvuil,huis_vuil
huiswarming,housewarming
huizeke,huis
hulpactie,hulp_actie
humeren,gehumeurd
huurauto,huur_auto
huurhuis,huur_huis
hypet,hyper
hypoc_honder,hypochonder
hyyp,hyper
ibup_roof,ibuprofen
icek_cassette,ikea cassette
ideetje,idee
iederen,iedereen
iiriteren,irriteren
ijn,ijs
ijs_eskimatch,ijs_hockey_match
ijs_jeee,ijsje
ijsbad,ijs_bad
ijsberen,ijs_beer
ijsbot,ijs_boot
ijske,ijsje
ijskoffie,ijs_koffie
ik_bitten,zitten
impas,impasse
impul,impuls
in_gelasten,in_lassen
in_heckten,in_checken
in_klijden,in_kleden
in_lochten,in_loggen
in_logen,in_loggen
in_noveren,innoveren
in_pannen,in_plannen
in_wikkelen,ingewikkeld
in_zatten,in_zitten
inbouwkast,inbouw_kast
indelen,in_delen
indrinken,in_drinken
infoavond,info_avond
infogo,info
infomoment,info_moment
informatiesessie,info_sessie
infosessie,info_sessie
ingang_anamen,ingang_examen
ingenie_urs,ingenieur
ingenieurdip_loma,ingenieur_diploma
inhaalactie,inhaal_actie
inhuren,in_huren
initiatiefnemer,initiatief_nemer
initiëal,initieel
inkomen,in_komen
inkomhal,inkom_hal
inkop,inkoop
inkopen,in_kopen
inleveren,in_leveren
inord,orde
inplan,in_plannen
inslaap,slaap
insmeren,in_smeren
inspreek,in_spreken
insta,instagram
instag_ram,instagram
instuderen,in_studeren
insturen,in_sturen
intaak,intake
intensieven,intensief
interactiecollege,interactie_college
interessants,interessant
interessantst,interessant
interesseren,interessen
interesses,interesse
interie_urwinkel,interieur_winkel
interimjob,interim_job
internaat,internet
internetpagina,internet_pagina
interviewtechniek,interview_techniek
intressant,interessant
intypen,in_typen
invalshoek,inval_hoek
invoeren,in_voeren
ipath,ipad
iphon,iphone
irenes,irene
iriteren,irriteren
ïriteren,irriteren
irritants,irritant
ïrriteren,irriteren
